City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
174,Rodez,FR,2021-10-18 21:29:32,44.5,2.5833,53.28,82,0,6.91
175,Luderitz,NA,2021-10-18 21:25:25,-26.6481,15.1594,72.19,25,87,16.04
176,Boulder,US,2021-10-18 21:26:08,40.0833,-105.3505,72.59,20,1,4.0
177,Oudtshoorn,ZA,2021-10-18 21:29:33,-33.5907,22.2014,46.76,74,0,1.72
178,Puerto Ayora,EC,2021-10-18 21:29:33,-0.7393,-90.3518,78.76,80,78,10.67
179,Luanda,AO,2021-10-18 21:27:41,-8.8368,13.2343,75.2,83,20,5.75
180,Santa Cruz De La Palma,ES,2021-10-18 21:29:33,28.6835,-17.7642,78.94,27,0,6.91
181,Santa Catarina De Tepehuanes,MX,2021-10-18 21:29:34,25.35,-105.7333,74.35,38,97,12.15
182,Jackson,US,2021-10-18 21:26:02,42.4165,-122.8345,57.79,61,1,0.0
183,Alihe,CN,2021-10-18 21:29:34,50.5667,123.7167,24.42,68,11,3.4
184,Clyde River,CA,2021-10-18 21:27:04,70.4692,-68.5914,32.23,86,90,23.02
185,Mount Gambier,AU,2021-10-18 21:29:34,-37.8333,140.7667,46.31,100,40,0.0
186,Rocha,UY,2021-10-18 21:28:42,-34.4833,-54.3333,57.15,79,14,7.58
187,San Cristobal,VE,2021-10-18 21:29:35,7.7669,-72.225,80.78,55,69,5.35
188,Lorengau,PG,2021-10-18 21:29:35,-2.0226,147.2712,83.26,74,48,10.25
189,Paithan,IN,2021-10-18 21:29:35,19.4833,75.3833,73.08,75,62,9.51
190,Sydney Mines,CA,2021-10-18 21:29:36,46.2367,-60.2177,57.85,85,75,1.01
191,Chuy,UY,2021-10-18 21:25:04,-33.6971,-53.4616,59.34,83,35,8.32
192,Hlotse,LS,2021-10-18 21:29:36,-28.8718,28.045,48.99,24,0,2.37
193,Vao,NC,2021-10-18 21:29:32,-22.6667,167.4833,71.83,92,100,24.56
194,Lima,PE,2021-10-18 21:25:34,-12.0432,-77.0282,62.13,77,75,9.22
195,Ballater,GB,2021-10-18 21:29:37,57.0493,-3.0402,57.78,99,99,4.32
196,Phan Thiet,VN,2021-10-18 21:29:37,10.9333,108.1,77.16,91,98,6.13
197,Faanui,PF,2021-10-18 21:29:37,-16.4833,-151.75,80.06,78,99,16.04
198,Adrar,MR,2021-10-18 21:29:38,20.5022,-10.0711,85.32,12,99,9.98
199,Tanout,NE,2021-10-18 21:29:38,14.9709,8.8879,88.03,22,20,5.41
200,Marsh Harbour,BS,2021-10-18 21:28:59,26.5412,-77.0636,77.77,59,70,15.32
201,Alugan,PH,2021-10-18 21:29:38,12.2188,125.4808,80.87,83,74,4.74
202,Black Diamond,US,2021-10-18 21:29:39,47.3087,-122.0032,55.87,78,75,1.99
203,Batagay-Alyta,RU,2021-10-18 21:29:39,67.8006,130.4114,1.54,84,100,1.99
204,Aklavik,CA,2021-10-18 21:28:53,68.2191,-135.0107,22.03,76,100,3.38
205,Guerrero Negro,MX,2021-10-18 21:29:39,27.9769,-114.0611,70.48,57,2,17.58
206,Arman,RU,2021-10-18 21:29:40,59.7,150.1667,11.5,51,3,8.9
207,Tual,ID,2021-10-18 21:29:40,-5.6667,132.75,83.23,77,64,12.46
208,Ishigaki,JP,2021-10-18 21:29:40,24.3448,124.1572,75.33,78,75,4.61
209,Kholmogory,RU,2021-10-18 21:29:40,64.2229,41.656,35.71,92,82,5.41
210,Shakiso,ET,2021-10-18 21:29:41,5.75,38.9167,58.5,83,79,3.15
211,Sarishabari,BD,2021-10-18 21:29:41,24.7333,89.8333,76.62,96,100,16.2
212,Srednekolymsk,RU,2021-10-18 21:28:23,67.45,153.6833,-2.6,100,92,4.07
213,Gijon,ES,2021-10-18 21:24:56,43.5357,-5.6615,72.45,87,100,4.0
214,Assare,BR,2021-10-18 21:29:42,-6.8744,-39.875,89.22,23,91,5.82
215,Husavik,IS,2021-10-18 21:29:42,66.0449,-17.3389,39.11,98,100,15.79
216,Provideniya,RU,2021-10-18 21:29:42,64.3833,-173.3,30.31,69,90,15.66
217,Naze,JP,2021-10-18 21:29:42,28.3667,129.4833,69.75,85,99,11.45
218,Elko,US,2021-10-18 21:29:43,41.0002,-115.5012,43.74,63,100,11.01
219,Tambovka,RU,2021-10-18 21:29:43,50.0969,128.0489,21.31,59,0,5.61
